,0
0,1
1,1
2,1
3,0
4,1
5,0
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,0
35,1
36,1
37,1
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,1
56,0
57,1
58,0
59,0
60,1
61,1
62,1
63,0
64,1
65,0
66,1
67,1
68,0
69,1
70,1
71,1
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,1
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,1
117,1
118,0
119,1
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,1
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,1
165,1
166,1
167,1
168,0
169,1
170,1
171,0
172,0
173,0
174,1
175,0
176,0
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,0
200,0
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,1
214,1
215,1
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,1
229,0
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,0
238,1
239,1
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,0
248,1
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,1
259,1
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,1
279,1
280,0
281,0
282,1
283,0
284,1
285,0
286,1
287,1
288,1
289,0
290,1
291,0
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,1
306,1
307,1
308,0
309,1
310,0
311,1
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,0
321,1
322,1
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,1
343,1
344,0
345,1
346,0
347,1
348,0
349,0
350,1
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,1
